,2,4,8,16,32,64,128,256,512,1024
Write back + allocate,6728947,6718241,6674145,6447941,6301449,6223539,6180821,6159621,6147855,6141919
Write through + no-allocate,27311253,27307563,27296095,27133829,27044465,26999961,26977059,26967625,26964257,26968077
