,2,4,8,16,32,64,128,256,512,1024,2048,4096
16 KB,0.0219589,0.0218804,0.0196938,0.0160425,0.0135948,0.0116206,0.00992865,0.0085127,0.00741093,0.00656178
32 KB,0.021857,0.0217785,0.0195835,0.0159597,0.0135312,0.0115526,0.00983949,0.00841929,0.0072135,0.00529443,0.00359189
64 KB,0.0218549,0.0217764,0.0195813,0.0159576,0.0135248,0.0115442,0.00982251,0.00838108,0.0071668,0.00524773,0.00349424,0.00271515
128 KB,0.0218549,0.0217764,0.0195813,0.0159576,0.0135248,0.0115442,0.00982251,0.00838108,0.0071668,0.00524348,0.00347726,0.00266208
256 KB,0.0218549,0.0217764,0.0195813,0.0159576,0.0135248,0.0115442,0.00982251,0.00838108,0.0071668,0.00524348,0.00347513,0.00265783
512 KB,0.0218549,0.0217764,0.0195813,0.0159576,0.0135248,0.0115442,0.00982251,0.00838108,0.0071668,0.00524348,0.00347513,0.00265783
1024 KB,0.0218549,0.0217764,0.0195813,0.0159576,0.0135248,0.0115442,0.00982251,0.00838108,0.0071668,0.00524348,0.00347513,0.00265783
4096 KB,0.0218549,0.0217764,0.0195813,0.0159576,0.0135248,0.0115442,0.00982251,0.00838108,0.0071668,0.00524348,0.00347513,0.00265783
16384 KB,0.0218549,0.0217764,0.0195813,0.0159576,0.0135248,0.0115442,0.00982251,0.00838108,0.0071668,0.00524348,0.00347513,0.00265783
32768 KB,0.0218549,0.0217764,0.0195813,0.0159576,0.0135248,0.0115442,0.00982251,0.00838108,0.0071668,0.00524348,0.00347513,0.00265783
