,2,4,8,16,32,64,128,256,512,1024
Write back + allocate,2783702,2773420,2694662,2532164,2432842,2379100,2349420,2335004,2327372,2323768
Write through + no-allocate,9415518,9411934,9374698,9303270,9250724,9224102,9207888,9199752,9197026,9199438
